date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-08-21,0.2794,334.0,1186.3,False,81.0,False,0.7686718767489387
2020-08-22,0.2861,339.0,1185.3,True,78.0,False,-0.0337142933476086
2020-08-23,0.285,339.0,1185.3,True,76.0,False,0.3521204935903688
2020-08-24,0.2886,341.0,1185.3,False,78.0,False,-0.3150104137196075
2020-08-25,0.2767,330.0,1190.0,False,75.0,False,0.2207894361213824
2020-08-26,0.2767,327.0,1186.3,False,76.0,False,-0.3805675571922906
2020-08-27,0.2646,314.0,1187.0,False,75.0,False,-0.0255348793078979
2020-08-28,0.2719,320.0,1185.7,False,74.0,False,-0.7419015550114816
2020-08-29,0.274,322.0,1185.1,True,79.0,False,-0.8368507508374923
2020-08-30,0.2834,331.0,1185.1,True,75.0,False,-1.446250958814821
2020-08-31,0.2815,331.0,1185.1,False,75.0,False,-0.7810569155528246
2020-09-01,0.2955,346.0,1183.3,False,75.0,False,-1.0481885312276562
2020-09-02,0.276,329.0,1184.6,False,83.0,False,0.6271302977584492
2020-09-03,0.2438,296.0,1186.2,False,79.0,False,2.3528853624170454
2020-09-04,0.2537,307.0,1187.5,False,40.0,False,1.902371221708199
2020-09-05,0.2374,288.0,1190.2,True,41.0,False,1.9276067666906591
2020-09-06,0.2399,289.0,1190.2,True,41.0,False,1.2156454311572862
2020-09-07,0.2422,289.0,1190.2,False,41.0,False,0.2544729105476317
2020-09-08,0.2367,284.0,1187.2,False,41.0,False,1.0639327591763117
2020-09-09,0.239,285.0,1187.9,False,38.0,False,0.3845962830930194
2020-09-10,0.243,290.0,1189.6,False,38.0,False,0.3207496519907815
2020-09-11,0.2424,289.0,1185.3,False,41.0,False,0.585862180244856
2020-09-12,0.2475,294.0,1188.3,True,41.0,False,-0.035446614593293
2020-09-13,0.242,290.0,1188.3,True,38.0,False,0.8455026035526725
2020-09-14,0.2457,292.0,1188.3,False,39.0,False,0.0118815485305567
2020-09-15,0.2431,289.0,1184.2,False,47.0,False,0.3893927386580564
2020-09-16,0.2468,291.0,1180.5,False,43.0,False,-0.1192390939476317
2020-09-17,0.2522,296.0,1177.8,False,48.0,False,-0.3505103467815629
2020-09-18,0.2508,293.0,1175.4,False,49.0,False,-0.60731980615919
2020-09-19,0.2511,294.0,1163.6,True,48.0,False,0.6229174649760694
2020-09-20,0.2466,288.0,1163.6,True,52.0,False,0.3681000067748519
2020-09-21,0.2308,272.0,1163.6,False,48.0,False,1.281327953110334
2020-09-22,0.2329,273.0,1160.6,False,39.0,False,0.9974926725024424
2020-09-23,0.2214,259.0,1163.9,False,43.0,False,0.5093534625239204
2020-09-24,0.2326,272.0,1164.4,False,39.0,False,0.4285047997440783
2020-09-25,0.2415,280.0,1170.3,False,46.0,False,-0.9296513838270016
2020-09-26,0.2414,282.0,1170.5,True,45.0,False,-0.197728825904131
2020-09-27,0.2435,283.0,1170.5,True,47.0,False,-0.7075899925179874
2020-09-28,0.2412,281.0,1170.5,False,43.0,False,-0.4691762602337834
2020-09-29,0.2428,283.0,1173.5,False,45.0,False,-0.6758952681715669
2020-09-30,0.2416,282.0,1169.5,True,49.0,False,-0.1950796882122629
2020-10-01,0.2382,278.0,1169.5,True,45.0,False,-0.2063717872644033
2020-10-02,0.2338,275.0,1169.5,True,41.0,False,0.5745182206283062
2020-10-03,0.2327,274.0,1169.5,True,40.0,False,0.6824913331298754
